Output,Reviews
Yes,Good
No,I dont have much restaurant choices and takes long time to deliver
No,"My location is outside Bangalore, good restaurants are in interior regions"
Yes,Smooth deliVery   service 
Yes,Fast deliVery   is required. But quality is super good
Yes,LOVE SWIGGY AND ZOMATO. Literally the best
Yes,The deliVery   to my locations are done pretty fast
Yes,NIL
No,I require the food to be undamaged. Mostly the food is tampered
Yes,Best Best Best Best !!!!
Yes,Love to order online 
Yes,I love ordering for my family from swiggy
No,I need faster deliVery  .
Yes,Crazily fast deliVery   people besides having high traffic
Yes,BEST BEST BEST !! WONDERFUL WONDERFUL !! FAST FAST FAST !!
No,Need quality food deliVery  . had worst experience of spilled food
Yes,NIL
Yes,NIL
Yes,I would avoid restaurants which has less rating 
No,Faster deliVery   is needed !!
Yes,My entire family loves swiggy
Yes,DeliVery   people are working hard. Can't complain
Yes,I don't mind about late deliVery   when it comes from a top rated restaurant believing in its quality
Yes,I have no issues related to deliVery   and I prefer four plus rated restaurant
No,I had misplaced order in the past orders
Yes,Best service
No,I had bad quality order delivered twice
Yes,Bad rating doesn't mean that the food tastes bad. DeliVery   got no problem !
No,Order delivered to my location are late
Yes,My location is pretty well built for food deliVery   
Yes,I believe more on quality than time of deliVery  
Yes,NIL
Yes,Super fast riders helps in super fast deliVery  
Yes,I believe rating doesn't have much effect on the taste of food
No,I need quicker deliVery   and more extra restaurant choices
Yes,Best best fast fast quick quick
No,My order rarely gets late. But it really pissess me off
No,worst worst worst slow slow slow
Yes,I'm satisfied with the service of swiggy
No,Worst deliVery   system- Especially zomato 
Yes,Whitefield got no problem with respect to deliVery   and we have a good set of restaurant here
Yes,I can wait for quality food from highly rated restaurant
No,If it is from a low rated restaurant. I restrict myself to order from that restaurant
No,It serves my hunger on time. But there are times it delays when I needed the most
Yes,I'm conscious about quality more than time of deliVery  
Yes,LOVE SWIGGY AND ZOMATO
No,Poor deliVery   services
Yes,Quick and fastest deliVery   made to my location
Yes,No issues
Yes,Neat package by swiggy and also takes carry of quality during covid situation
Yes,NIL
No,Very   late deliveries to my house eVery  time i order
Yes,Love Swiggy's deliVery   men. They are lightning fast
Yes,560075
Yes,Quality is more Important than time
Yes,Nil
Yes,I love ordering online
Yes,BEST BEST POSITIVE REVIEWS
No,DeliVery   in my place is slow as turtle
Yes,FAST FAST FAST FAST FAST
Yes,"I can forgive deliveries if they are late, but can't compromise with quality"
Yes,Fast as sonic !!!
Yes,I find no issues with the online food deliVery  . But requires a lil bit faster deliVery  
Yes,I have certain high rated restaurants where I order and they deliver fast 
No,No reason. I prefer home cooked food. I had bad experiences ordering online
Yes,TOP RATING TOP RATING RATING FIVE PLUS FIVE PLUS FOUR PLUS FOUR PLUS
Yes,Favorite service to reduce our hunger
No,BAD BAD BAD POOR POOR POOR RATING
Yes,"If Packaging is hygienic,I would rate them high"
Yes,DeliVery   people are sweet and fast
No,I need quality food arriving at my doorsteps within the stipulated time
No,Can't understand what deliVery   people are speaking. Language barrier !
No,less responsive deliVery   men. Also prevalent late deliveries
No,poor deliVery   men really rushing fast to deliver the food. But there are many spillage issues as well
No,Had many bad experiences with respect to deliVery  
Yes,"LOVE THE PRICE AND OFFER OFFERED BY SWIGGY, USUALLY RATE FOUR PLUS"
Yes,Good price and offers with fast deliVery  
Yes,NIL
No,Slow deliVery   and I avoid ordering from poor rated restaurant
No,I'd rather cook at home during covid-19
Yes,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience"
Yes,nil
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,Nil
Yes,Nil
Yes,Nil
Yes,Language barrier is also one major issue. Moslty these deliVery   boys are only familiar with Kanada which creates a problem while addressing any issue.
Yes,Smooth deliVery   service 
Yes,Fast deliVery   is required. But quality is super good
Yes,LOVE SWIGGY AND ZOMATO. Literally the best
Yes,The deliVery   to my locations are done pretty fast
Yes,NIL
No,I require the food to be undamaged. Mostly the food is tampered
Yes,Best Best Best Best !!!!
Yes,Love to order online 
Yes,I love ordering for my family from swiggy
No,I need faster deliVery  .
Yes,Crazily fast deliVery   people besides having high traffic
Yes,BEST BEST BEST !! WONDERFUL WONDERFUL !! FAST FAST FAST !!
No,Need quality food deliVery  . had worst experience of spilled food
Yes,NIL
Yes,NIL
Yes,I would avoid restaurants which has less rating 
No,Faster deliVery   is needed !!
Yes,My entire family loves swiggy
Yes,DeliVery   people are working hard. Can't complain
Yes,NIL
Yes,"My home is near Phoenix marketcity, so time taken for deliVery   is less"
Yes,I'm quite satisfied with the service
Yes,I had no issues as per my experience. But heard deliVery   people are sometimes rude
No,I had few health issues after consuming delivered food. Restaurants need to improve their quality and deliVery   people should deliVery   it without tampering which might lead to contamination of food
Yes,NIL
Yes,I order most of my meals on swiggy or zomato depending upon the offers
No,I need the order to be delivered soon. It takes a lot of time 
No,Food needs to have good quality. It leads me to give higher rating
Yes,I appreciate the efforts of hardworking deliVery   people
No,DeliVery   is late. Need quick updates on location of order
Yes,I have no trouble with deliVery  
Yes,Nil
Yes,Very   few times I have  had bad experienced by aggregator or restaurant 
Yes,Best service comes with great offers and wonderful service
No,Bad deliVery   system and less restaurant choices
Yes,NIL
Yes,"My home is near Phoenix marketcity, so time taken for deliVery   is less"
Yes,I'm quite satisfied with the service
Yes,I had no issues as per my experience. But heard deliVery   people are sometimes rude
No,I had few health issues after consuming delivered food. Restaurants need to improve their quality and deliVery   people should deliVery   it without tampering which might lead to contamination of food
Yes,NIL
Yes,I order most of my meals on swiggy or zomato depending upon the offers
No,I need the order to be delivered soon. It takes a lot of time 
No,Food needs to have good quality. It leads me to give higher rating
Yes,I appreciate the efforts of hardworking deliVery   people
No,DeliVery   is late. Need quick updates on location of order
Yes,NIL
No,I require the food to be undamaged. Mostly the food is tampered
Yes,Best Best Best Best !!!!
Yes,Love to order online 
Yes,I love ordering for my family from swiggy
No,I need faster deliVery  .
Yes,Crazily fast deliVery   people besides having high traffic
Yes,BEST BEST BEST !! WONDERFUL WONDERFUL !! FAST FAST FAST !!
No,Need quality food deliVery  . had worst experience of spilled food
Yes,NIL
Yes,NIL
Yes,I would avoid restaurants which has less rating 
No,Faster deliVery   is needed !!
Yes,My entire family loves swiggy
Yes,DeliVery   people are working hard. Can't complain
Yes,I don't mind about late deliVery   when it comes from a top rated restaurant believing in its quality
Yes,I have no issues related to deliVery   and I prefer four plus rated restaurant
No,I had misplaced order in the past orders
Yes,Best service
No,I had bad quality order delivered twice
Yes,Bad rating doesn't mean that the food tastes bad. DeliVery   got no problem !
No,Order delivered to my location are late
Yes,My location is pretty well built for food deliVery   
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,Nil
Yes,Nil
Yes,Nil
Yes,Language barrier is also one major issue. Moslty these deliVery   boys are only familiar with Kanada which creates a problem while addressing any issue.
Yes,Nil
